dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr
10037239,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037239,M031134,,Sweepstake Prospect,35.83194,-115.53723,NA,United States,Nevada,Clark,M,"Lead, Copper",,,Unknown,,N,Occurrence,"Jarosite, Plumbojarosite",,,,,,,Hydrothermal,,,"Harner, Joy L. (Roberts, Ralph J.)",,Limestone,,,Large Scale Overthrusts.,,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGS QUAD., USGS PROF. PAPER 162 P. 113",,,,,,,,
10037238,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037238,M031133,,Surprise Mine,35.81778,-115.48778,NA,United States,Nevada,Clark,M,Zinc,Lead,,Unknown,,S,Past Producer,,,,,Underground,,,Replacement,,Breccia Zone,"Harner, Joy L. (Roberts, Ralph J.)",,Dolomite,,,,,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGE QUAD. USGS PROF. PAPER 162 P. 147 .LONGWELL, C. R., PAMPEYAN, E. H., BOWYER, B., ROBERTS, R. J., 1965 , GEOLOGY AND MINERAL DEPOSITS OF CLARK CO. NEV. BUREAU OF MINES BULL. 62 P. 197 .LONGWELL ETAL 1965 - HEWETT, 1931 .",,,,,,,,
10037237,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037237,M031131,,Star Mine,35.76944,-115.44667,NA,United States,Nevada,Clark,M,"Zinc, Lead",,,Unknown,,N,Occurrence,Galena,,,,,,,Replacement,Evening Star Claim,Fault Zone,"Harner, Joy L. (Roberts, Ralph J.)",,Limestone,,,"Fredrickson Rift Zone (Nw Belt Of Shearing)., Star Fault Trending",,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGS QUAD. USGS PROF. PAPER 162 P. 156 .LONGWELL, C. R., PAMPEYAN, E. H., BOWYER, B., ROBERTS, R. J., 1965 , GEOLOGY AND MINERAL DEPOSITS OF CLARK CO. NEV. BUREAU OF MINES BULL. 62 P. 197 .",,,,,,,,
10037236,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037236,M031130,,Speeter Mine,35.79167,-115.56223,NA,United States,Nevada,Clark,M,"Lead, Vanadium",,,Unknown,,N,Occurrence,"Cuprodescloizite, Galena",,,,,,,Replacement,,Shear Zone,"Harner, Joy L. (Roberts, Ralph J.)",,Dolomite,,,"Large Scale Overthrusts, Thrust Fault Limiting The Shear Zone On The East.",,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGS QUAD., USGS PROF. PAPER 162 P. 151 .LONGWELL, C. R., PAMPEYAN, E. H., BOWYER, B., ROBERTS, R. J., 1965 , GEOLOGY AND MINERAL DEPOSITS OF CLARK CO. NEV. BUREAU OF MINES BULL. 62 P. 197 .",,,,,,,,
10037235,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037235,M031129,,Snowstorm Mine,35.87556,-115.48667,NA,United States,Nevada,Clark,M,Copper,,,Unknown,,S,Past Producer,Malachite,,,,Underground,,,Hydrothermal,,Breccia Zone,"Harner, Joy L. (Roberts, Ralph J.)",,Dolomite,,,Large Scale Overthrusts.,,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGS QUAD., USGS PROF. PAPER 162 P. 110",,,,,,,,
10037234,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037234,M031127,,Rose Mine,35.81861,-115.51806,NA,United States,Nevada,Clark,M,Copper,"Lead, Silver, Gold",,Unknown,,S,Past Producer,"Chalcocite, Chrysocolla, Cuprite, Malachite",,,,Underground,,,Hydrothermal,Black Jack Claim,Shear Zone,"Harner, Joy L. (Roberts, Ralph J.)",,Dolomite,,,Northside Of Anticline.,,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGS QUAD., USGS PROF. PAPER 162 P. 120",,,,,,,,
10037233,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037233,M031126,,Root Mine,35.77806,-115.54473,NA,United States,Nevada,Clark,M,"Zinc, Lead","Silver, Copper, Gold",,Unknown,,S,Past Producer,"Galena, Hydrozincite",,,,Underground,72: Polymetallic replacement,,Replacement,Bonanza Hill,Permeability Due To Faulting & Jointing In And Along Flexures And Impermeable Barriers,"Harner, Joy L. (Roberts, Ralph J.)",,Dolomite,,,"Se Limb Of Anticline Trending Ne;  Numerous Joints And Shear Zones, Fault With 100 - 200 Ft. Of Displacement.",,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGS QUAD., USGS PROF. PAPER 162 P. 152 .LONGWELL, C. R., PAMPEYAN, E. H., BOWYER, B., ROBERTS, R. J., 1965 , GEOLOGY AND MINERAL DEPOSITS OF CLARK CO. NEV. BUREAU OF MINES BULL. 62 P. 195 .ALBRITTON AND OTHERS, 1954 .LONGWELL ETAL 1965",,,,,,,,
10037232,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037232,M031125,,Puelz Mine,35.77389,-115.48084,NA,United States,Nevada,Clark,M,"Zinc, Lead, Silver, Gold",,,Unknown,,S,Past Producer,"Calamine, Galena, Hydrozincite",,,,,,,Replacement,,Breccia Zones,"Harner, Joy L. (Roberts, Ralph J.)",,Dolomite,,Lamprophyre,"Fredrickson Rift Zone (Nw Belt Of Shearing)., Puelz Thrust Marked By Broad Breccia Zone, Normal Faults Trending East And Dipping Steeply N.",,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGS QUAD., USGS PROF. PAPER 162 P. 154 .LONGWELL, C. R., PAMPEYAN, E. H., BOWYER, B., ROBERTS, R. J., 1965 , GEOLOGY AND MINERAL DEPOSITS OF CLARK CO. NEV. BUREAU OF MINES BULL. 62 P. 195 .LONGWELL ETAL, 1965",,,,,,,,
10037231,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037231,M031124,,Platina Mine,35.8225,-115.57001,NA,United States,Nevada,Clark,M,Copper,,,Unknown,,S,Past Producer,"Chrysocolla, Malachite",,,,Underground,,,Hydrothermal,,Permeable Dolomite Beds.,"Harner, Joy L. (Roberts, Ralph J.)",,Limestone,,,Large Scale Overthrusts,,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGS QUAD., USGS PROF. PAPER 162 P. 118",,,,,,,,
10037230,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037230,M031123,,Palace and Porter Mines,35.76556,-115.44945,NA,United States,Nevada,Clark,M,Lead,,,Unknown,Replacement,S,Past Producer,"Galena, Hydrozincite",,,,Underground,,,Replacement,,,"Harner, Joy L. (Roberts, Ralph J.)",,Limestone,,,Fredrickson Rift Zone (Nw Belt Of Shearing).,,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGS QUAD., USGS PROF. PAPER 162 P. 158 .LONGWELL, C. R., PAMPEYAN, E. H., BOWYER, B., ROBERTS, R. J., 1965 , GEOLOGY AND MINERAL DEPOSITS OF CLARK CO. NEV. BUREAU OF MINES BULL. 62 P. 195 .",,,,,,,,
10037229,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037229,M031122,,New Year Mine,35.71639,-115.45584,NA,United States,Nevada,Clark,M,Zinc,"Gold, Lead, Silver",,Unknown,,S,Past Producer,"Calamine, Galena, Hydrozincite, Smithsonite",,,,,,,Replacement,,Permeability Of The Limestone.,"Harner, Joy L. (Roberts, Ralph J.)",,Dolomite,,,"Large Scale Thrust Faults, Anticlines & Synclines., Crest Of A Minor Anticline Plunging Steeply Nw.",,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGE QUAD., USGS PROF. PAPER 162 P. 163 .LONGWELL, C. R., PAMPEYAN, E. H., BOWYER, B.,  ROBERTS, R. J., 1965 , GEOLOGY AND MINERAL DEPOSITS OF CLARK CO. NEV. BUREAU OF MINES BULL. 62 P. 193 .",,,,,,,,
10037228,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037228,M031121,,Monte Cristo Mine,35.76694,-115.45223,NA,United States,Nevada,Clark,M,Zinc,,,Unknown,,S,Past Producer,"Calamine, Hydrozincite, Smithsonite",,,,,,,Replacement,,Limestone Permeability,"Harner, Joy L. (Roberts, Ralph J.)",,Limestone,,,"Fredrickson Rift Zone (Nw Belt Of Shearing), Deposit Located Between 2 Faults Striking N 35 W And Dipping 50 Ne.  Ore Exposed Break N 40 W, 80 Sw Displaces The Beds.",,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGS QUAD,; USGS PROF. PAPER 162 P. 156 - 158 .LONGWELL, C. R., PAMPEYAN, E. H., BOWYER, B., ROBERTS, R. J., 1965 , GEOLOGY AND MINERAL DEPOSITS OF CLARK CO. NEV. BUREAU OF MINES, BULL. 62 , P. 193 .",,,,,,,,
10037227,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037227,M031120,,Middlesex Mine,35.84583,-115.48667,NA,United States,Nevada,Clark,M,"Lead, Zinc",,,Unknown,,N,Occurrence,"Galena, Hydrozincite",,,,,,,Replacement,,Bedding Surface Fracture,"Harner, Joy L. (Roberts, Ralph J.)",,Dolomite,,Granite,Large Scale Overthrusts,,"HEWETT, 1931 ,  GEOLOGY AND ORE DEPOSITS OF GOODSPRINGS QUAD; USGS PROF. PAPER 162 P. 137",,,,,,,,
10037226,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037226,M031119,,Lookout Mine,35.80472,-115.45751,NA,United States,Nevada,Clark,M,"Zinc, Lead","Copper, Silver, Gold, Vanadium",,Unknown,,M,Past Producer,"Calamine, Cuprodescloizite, Galena, Hydrozincite",,,,,72: Polymetallic replacement,,Replacement,"Annex Mine, Mountain Top Mine",Crushed Dolomite Zones,"Harner, Joy L. (Roberts, Ralph J.)",Bird Spring Dolomite,Dolomite,,,"Fredrickson Rift Zone (Nw Belt Of Shearing), Numerous Minor Fractures, Fredrickson Fault",,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGS QUAD; USGS PROF. PAPER 162 , P. 150 - 151 .LONGWELL, C. R., PAMPEYAN, E. H., BOWYER, B., ROBERTS, R. J., 1965 , GEOLOGY AND MINERAL DEPOSITS OF CLARK CO. NEV. BUREAU OF MINES, BULL. 62 ,  P. 192 .",,,,,,,,
10037225,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037225,M031118,,Lincoln Mine,35.77778,-115.4214,NA,United States,Nevada,Clark,M,Copper,"Silver, Gold",,Unknown,,S,Past Producer,Chrysocolla,,,,,,,Hydrothermal,,Wall,"Harner, Joy L. (Roberts, Ralph J.)",,Dolomite,,,"Large Scale Overthrusts, Well Defined Wall N 15 - 25 W, 80 Sw Which Appears To Determine The Ore Distribution",,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGS QUAD,; USGS PROF. PAPER 162 P. 122 - 123",,,,,,,,
10037224,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037224,M031116,,Keystone Mine,35.83639,-115.52278,NA,United States,Nevada,Clark,M,"Gold, Copper",Silver,,Unknown,,S,Past Producer,"Chrysocolla, Copper, Gold, Limonite",,,,Underground,,,Geothermal,,Contact Of Porphyry With Dolomite,"Harner, Joy L. (Roberts, Ralph J.), Li, Zhiping (Moyer, Lorre A.)",,Dolomite,,Granite,"Large Scale Overthrusts, Broad Anticline, Keystone Thrust, Small Underground Faults",,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGS QUAD, USGS PROF. PAPER 162 , P. 105 - 107 .LONGWELL, C. R., PAMPEYAN, E. H., BOWYER, B., ROBERTS, R. J., 1965 , GEOLOGY AND MINERAL DEPOSITS OF CLARK CO. NEV. BUREAU OF MINES, BULL. 62 , P. 191 .NBMG, 1994, MI-1993NBMG MI-1993",,,,,,,,
10037223,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037223,M031115,,Ironside Mine,35.83139,-115.56167,NA,United States,Nevada,Clark,M,Copper,,,Unknown,,N,Occurrence,Malachite,,,,Underground,,,Hydrothermal,,Shear Zone,"Harner, Joy L.",,Limestone,,,Beds Form East Side Of A Sharp Anticline That Ends Southward Against The Ironside Fault,,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGS QUAD; USGS PROF. PAPER 162 P. 113",,,,,,,,
10037222,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037222,M031114,,Ireland Mine,35.76194,-115.41806,NA,United States,Nevada,Clark,M,"Lead, Copper",Zinc,,Unknown,Replacement,S,Past Producer,,,,,Underground,,,Replacement,,Permeability Of Dolomite,"Harner, Joy L. (Roberts, Ralph J.)",,Dolomite,,,"Large Scale Overthrusts, Irregular Fractures",,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGS QUAD; USGS PROF. PAPER 162 P. 156 .LONGWELL, C. R., PAMPEYAN, E. H., BOWYER, B., ROBERTS, R. J., 1965 , GEOLOGY AND MINERAL DEPOSITS OF CLARK CO. NEV. BUREAU OF MINES BULL. 62 , P. 189 .LONGWELL, ETAL, 1965",,,,,,,,
10037221,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037221,M031113,,Ingomar and Milford No. 2 Mines,35.70611,-115.48862,NA,United States,Nevada,Clark,M,"Zinc, Lead","Silver, Copper",,Unknown,,S,Past Producer,"Galena, Hydrozincite, Lead, Smithsonite",,,,Underground,72: Polymetallic replacement,,Replacement,,Brecciation Along Faults,"Harner, Joy L. (Roberts, Ralph J.)",,Limestone,,,The Ridge That The Mine Is On Forms Part Of A Block That Has Been Thrust Forward And Upward 1000 Feet Along The Milford Thrust.  Two Minor Thrusts Overlie This Thrust.,,"HEWETT, 1931 , GEOLOGY AND ORE DEPOSITS OF GOODSPRINGS QUAD, USGS PROF. PAPER 162 .LONGWELL, C. R., 1965LONGWELL, ETAL, 1965",,,,,,,,
